Rank,Title,Year,Rating,Runtime,Genre,User Rating,Metacritic
"1,273",The Rage: Carrie 2,1999,R,104 min,"Horror, Sci-Fi, Thriller",4.7,42
"1,274",The Survivalist,2015,Not Rated,104 min,"Drama, Sci-Fi, Thriller",6.4,80
"1,275",Charly,1968,M,103 min,"Drama, Romance, Sci-Fi",7.0,50
"1,276",Cheech and Chong's Next Movie,1980,R,99 min,"Comedy, Crime, Sci-Fi",6.1,66
"1,277",Agent Cody Banks 2: Destination London,2004,PG,100 min,"Action, Adventure, Comedy",4.6,32
"1,278",Gantz,2010,Not Rated,130 min,"Action, Horror, Sci-Fi",6.4,
"1,279",CJ7,2008,PG,88 min,"Comedy, Drama, Family",6.4,46
"1,280",Nemesis,1992,R,95 min,"Action, Sci-Fi, Thriller",5.4,
"1,281",Femalien,1996,R,89 min,"Romance, Sci-Fi",5.0,
"1,282",Evangelion: 2.0 You Can (Not) Advance,2009,TV-14,112 min,"Animation, Action, Drama",8.0,
"1,283",The Batwoman,1968, ,80 min,"Adventure, Horror, Sci-Fi",4.8,
"1,284",Phantasm II,1988,R,97 min,"Action, Fantasy, Horror",6.5,42
"1,285",Cosmos,2019, ,128 min,"Adventure, Mystery, Sci-Fi",5.9,
"1,286",The Nude Bomb,1980,PG,94 min,"Action, Comedy, Crime",5.1,
"1,287",Scanners III: The Takeover,1991,R,101 min,"Action, Horror, Sci-Fi",4.4,
"1,288",The 10th Victim,1965,Not Rated,92 min,"Action, Comedy, Sci-Fi",6.6,
"1,289",The Recall,2017,R,90 min,"Action, Horror, Mystery",4.2,
"1,290",Fateful Findings,2013,Not Rated,100 min,"Drama, Fantasy, Mystery",4.6,
"1,291",Trancers,1984,PG-13,76 min,"Action, Sci-Fi",6.1,64
"1,292",The Island of Dr. Moreau,1977,PG,99 min,"Adventure, Fantasy, Horror",5.9,
"1,293",Gentlemen Broncos,2009,PG-13,90 min,"Adventure, Comedy, Sci-Fi",6.2,28
"1,294",The Breed,2006,R,91 min,"Action, Comedy, Horror",5.1,
"1,295",Alien Nation,1988,R,91 min,"Action, Sci-Fi",6.3,45
"1,296",Await Further Instructions,2018,TV-MA,91 min,"Horror, Mystery, Sci-Fi",4.8,
"1,297",On the Silver Globe,1988,Unrated,166 min,"Adventure, Drama, Fantasy",7.3,72
"1,298",Órbita 9,2017,TV-14,95 min,"Drama, Romance, Sci-Fi",5.9,
"1,299",Kingdom of the Spiders,1977,PG,97 min,"Horror, Sci-Fi",5.8,
"1,300",Liquid Sky,1982,R,112 min,"Sci-Fi, Thriller",6.1,66
"1,301",Reign of the Supermen,2019,PG-13,87 min,"Animation, Action, Adventure",6.8,
"1,302",The Last Days on Mars,2013,R,98 min,"Adventure, Horror, Sci-Fi",5.5,46
"1,303",UFO,2018,PG-13,88 min,"Drama, Mystery, Sci-Fi",6.2,
"1,304",Open Grave,2013,Unrated,102 min,"Horror, Mystery, Sci-Fi",6.2,33
"1,305",Sleight,2016,R,89 min,"Crime, Drama, Sci-Fi",5.9,62
"1,306",Evangelion: 3.0 You Can (Not) Redo,2012,TV-14,96 min,"Animation, Action, Drama",7.0,
"1,307",Viral,I 2016,R,85 min,"Drama, Horror, Sci-Fi",5.5,
"1,308",The Adventures of Pluto Nash,2002,PG-13,95 min,"Action, Comedy, Sci-Fi",3.8,12
"1,309",Kaboom,2010,Not Rated,86 min,"Comedy, Mystery, Romance",5.7,64
"1,310",Machete Kills in Space,, , ,"Action, Comedy, Sci-Fi", ,
"1,311",When Dinosaurs Ruled the Earth,1970,G,96 min,"Adventure, Fantasy, Romance",5.2,
"1,312",Prophecy,1979,PG,102 min,"Horror, Sci-Fi, Thriller",5.5,41
"1,313",Deathstroke Knights & Dragons: The Movie,2020,R,87 min,"Animation, Action, Adventure",6.4,
"1,314",Evils of the Night,1985,R,84 min,"Horror, Sci-Fi",3.6,
"1,315",Spacehunter: Adventures in the Forbidden Zone,1983,PG,90 min,"Action, Adventure, Sci-Fi",5.5,
"1,316",Kraven the Hunter,2023, , ,"Action, Adventure, Sci-Fi", ,
"1,317",Alien Whispers,2021, ,64 min,"Horror, Sci-Fi, Thriller",2.9,
"1,318",The Guyver,1991,PG-13,88 min,"Action, Comedy, Sci-Fi",5.0,
"1,319",The Man from Earth: Holocene,2017, ,98 min,"Drama, Fantasy, Sci-Fi",5.3,
"1,320","Abraxas, Guardian of the Universe",1990,R,90 min,"Action, Sci-Fi",2.8,
"1,321",Hard to Be a God,2013,Not Rated,177 min,"Drama, Sci-Fi",6.7,90
"1,322",Abbott and Costello Meet Frankenstein,1948,Not Rated,83 min,"Comedy, Fantasy, Horror",7.4,
"1,323",The Dustwalker,2019, ,95 min,"Drama, Sci-Fi, Thriller",3.7,
"1,324",Voyage to the Planet of Prehistoric Women,1968,Unrated,78 min,"Adventure, Sci-Fi",2.9,
"1,325",Seoul Station,2016, ,92 min,"Animation, Action, Horror",6.2,
"1,326",Shrunk,, , ,"Comedy, Family, Sci-Fi", ,
"1,327",Atlas Shrugged II: The Strike,2012,PG-13,111 min,"Drama, Mystery, Sci-Fi",5.4,26
"1,328",The Return of Swamp Thing,1989,PG-13,88 min,"Action, Adventure, Comedy",4.6,39
"1,329",Summer Wars,2009,PG,114 min,"Animation, Action, Adventure",7.5,63
"1,330",Cube Zero,2004,R,97 min,"Drama, Mystery, Sci-Fi",5.7,
"1,331",Deadly Friend,1986,R,91 min,"Drama, Horror, Sci-Fi",5.6,44
"1,332",The Last Journey of Paul W. R.,2020, ,87 min,"Adventure, Drama, Sci-Fi",6.1,
"1,333",The Final Cut,2004,PG-13,95 min,"Drama, Sci-Fi, Thriller",6.2,43
"1,334",Neon Genesis Evangelion: Death & Rebirth,1997,Not Rated,101 min,"Animation, Action, Drama",7.5,
