Rank,Title,Year,Rating,Runtime,Genre,User Rating,Metacritic
"7,816",La dernière incarnation,2005, ,92 min,"Comedy, Horror, Sci-Fi",3.7,
"7,817",Hunting Grounds,2008, ,90 min,"Horror, Sci-Fi",2.4,
"7,818",The Mirror Thief,, , ,"Mystery, Sci-Fi, Thriller", ,
"7,819",Belushi's Toilet,2018, ,121 min,"Drama, Sci-Fi",6.7,
"7,820",Early Stage,, ,89 min,Sci-Fi, ,
"7,821",Bikini Monsters,2010, ,90 min,"Horror, Sci-Fi",3.3,
"7,822",Bunker 6,2013,Not Rated,80 min,"Drama, Sci-Fi, Thriller",5.7,
"7,823",I Was a Zombie for the F.B.I.,1982, ,105 min,"Comedy, Sci-Fi",4.9,
"7,824",Zhao hua xi shi,1987, ,91 min,"Romance, Sci-Fi",5.5,
"7,825",La bella y la bestia,1990, ,45 min,"Drama, Fantasy, Mystery",6.9,
"7,826",Astro Boy,, , ,"Action, Adventure, Sci-Fi", ,
"7,827",The Marked,2020, , ,"Drama, Sci-Fi", ,
"7,828",Wolf 359 Live: Deep Space Survival Procedure and Protocol,2016, ,64 min,Sci-Fi,8.5,
"7,829",The Last Gateway,2007,Not Rated,105 min,Sci-Fi,4.6,
"7,830",Outback,, , ,"Action, Sci-Fi", ,
"7,831",Martian Time-Slip,, , ,Sci-Fi, ,
"7,832",Superkids,2018, ,83 min,"Adventure, Sci-Fi", ,
"7,833",Beyond the Universe,1981, ,93 min,Sci-Fi,3.6,
"7,834",Perdition City,, , ,Sci-Fi, ,
"7,835",Passagem Secreta,2021, ,95 min,"Adventure, Sci-Fi",6.4,
"7,836",Karn Evil 9,, , ,Sci-Fi, ,
"7,837",Ecstasia,, , ,"Action, Drama, Romance", ,
"7,838",Singularities,, , ,"Crime, Drama, Sci-Fi", ,
"7,839",Porobashinee,2017, , ,"Action, Sci-Fi, Thriller",5.4,
"7,840",Hay monstruos fuera,, , ,"Drama, Sci-Fi", ,
"7,841",Peraustrínia 2004,1990, ,75 min,"Animation, Sci-Fi",7.0,
"7,842",The Gunslinger Grifter Logan,, ,90 min,"Adventure, Fantasy, Sci-Fi", ,
"7,843",Wonder boy,1988, ,90 min,"Drama, Sci-Fi",6.5,
"7,844",Nanosharks,, , ,"Horror, Sci-Fi", ,
"7,845",Thunder Ninja Kids: The Hunt for the Devil Boxer,1991, ,90 min,"Action, Comedy, Sci-Fi",4.7,
"7,846",Unaware,2021, , ,Sci-Fi, ,
"7,847",Le festin de la mante,2004, ,96 min,"Romance, Sci-Fi, Thriller",4.7,
"7,848",The Oddity,2021, ,45 min,Sci-Fi, ,
"7,849",Agent 13,, , ,"Action, Sci-Fi", ,
"7,850",Wahan Ke Log,1967,Not Rated,130 min,"Action, Adventure, Drama",5.5,
"7,851",Demons of the Deep Blue,, , ,"Adventure, Fantasy, Sci-Fi", ,
"7,852",Mindbenders,2004,Unrated,90 min,Sci-Fi,5.9,
"7,853",The Construct,, , ,"Sci-Fi, Thriller", ,
"7,854",The Devils Kid,2022, , ,Sci-Fi, ,
"7,855",S7,, ,85 min,"Animation, Action, Sci-Fi", ,
"7,856",Boom in the Moon,1946, ,90 min,"Comedy, Sci-Fi, War",4.7,
"7,857",Black Hole,II, , ,"Action, Adventure, Sci-Fi", ,
"7,858",Other World,2016, ,87 min,"Action, Drama, Horror",4.6,
"7,859",Electric Eskimo,1979, ,57 min,"Family, Sci-Fi",7.1,
"7,860",13 segundos,2005, , ,"Action, Comedy, Drama",5.3,
"7,861",Oss,1976, ,86 min,"Drama, Sci-Fi",4.4,
"7,862",Malumm,, , ,"Action, Horror, Sci-Fi", ,
"7,863",Drake's Time Travel,, , ,"Action, Adventure, Comedy", ,
"7,864",Starcrypt,1996, , ,"Action, Mystery, Sci-Fi",3.7,
"7,865",Super Mouse and the Roborats,1989, ,99 min,"Action, Comedy, Fantasy",6.8,
"7,866",Teni protiv vzryvov,2021, , ,"Animation, Adventure, Comedy", ,
"7,867",Der Herr der Welt,1934, ,90 min,Sci-Fi,6.3,
"7,868",Joshîzu,2014, , ,"Action, Sci-Fi",5.5,
"7,869",Centurion Force,1998, ,86 min,Sci-Fi,3.3,
"7,870",Suicide Mission,1973, ,75 min,"Action, Adventure, Drama",5.0,
"7,871",Dominion,I, , ,"Action, Sci-Fi, Thriller", ,
"7,872",The Adoration of Jenna Fox,, , ,"Drama, Sci-Fi", ,
"7,873",White Whale,2010, ,96 min,"Drama, Fantasy, Sci-Fi",7.7,
"7,874",The Boy on the Bus,, , ,Sci-Fi, ,
"7,875",Rokushin gattai Godmars gekijô ban,1982, ,95 min,"Animation, Action, Sci-Fi",6.1,
"7,876",Subject,II, , ,"Horror, Sci-Fi", ,
"7,877","No Survivors, Please",1964, ,93 min,"Crime, Sci-Fi",6.1,
"7,878",Major Majestyk: The Power of the Crystals,2022, , ,Sci-Fi, ,
"7,879",Asleep in Armageddon,2021, , ,Sci-Fi, ,
"7,880",Not All Who Wander,2020, , ,Sci-Fi,7.4,
"7,881",Urutoraman Kosumosu Bui Esu Urutoraman Jiasutisu Za Fainaru Batoru,2003, ,77 min,"Action, Adventure, Sci-Fi",7.6,
"7,882",La casa,1976, ,105 min,"Drama, Sci-Fi",5.4,
"7,883",The Roly Poly Man,1994, ,94 min,"Comedy, Crime, Mystery",7.2,
"7,884",Untitled Retro Drive Project,2022, , ,Sci-Fi, ,
"7,885",13 Weird Stories,2015, ,123 min,"Comedy, Fantasy, Horror",5.6,
"7,886",2002: the Rape of Eden,1994,R,90 min,"Action, Comedy, Drama",4.1,
"7,887",Land of Tomorrow,, , ,Sci-Fi, ,
"7,888",Lady Muerte,2021, , ,"Action, Sci-Fi", ,
"7,889",Nemesis Eterna,2022, , ,Sci-Fi, ,
"7,890",Il tunnel sotto il mondo,1969, ,70 min,Sci-Fi,5.7,
"7,891",Blood Mercury,2014, ,70 min,"Action, Horror, Sci-Fi",4.6,
"7,892",Dead Sunrise,2017, ,120 min,"Adventure, Horror, Sci-Fi",4.2,
"7,893",Cyborg Assassin: Legend of the Space Ninja,2014,Not Rated,70 min,"Animation, Action, Sci-Fi",4.3,
"7,894",Astro 2,, , ,Sci-Fi, ,
"7,895",Texas Voodoo Zombies,2016, ,95 min,Sci-Fi,2.6,
"7,896",Sleepers,III, , ,"Action, Adventure, Sci-Fi", ,
"7,897",Gyaru basara: Sengoku-jidai wa kengai desu,2011, , ,"Comedy, Sci-Fi",4.9,
"7,898",Freezer Burn,2007,Not Rated,94 min,"Comedy, Drama, Sci-Fi",5.5,
"7,899",Mars One,, , ,Sci-Fi, ,
"7,900",Quarantine,1989,R,95 min,Sci-Fi,4.5,
"7,901",The Genesis Project,2014, ,89 min,"Action, Sci-Fi", ,
"7,902",Planet Terry,, , ,"Action, Comedy, Sci-Fi", ,
"7,903",Marvin the Martian,, , ,"Action, Comedy, Sci-Fi", ,
"7,904",The Entire History of You,, , ,Sci-Fi, ,
"7,905",Observers,2021, , ,"Horror, Sci-Fi", ,
"7,906",Onna chikan sôsakan: Oshiri de shôbu!,1998, ,61 min,"Action, Sci-Fi",6.5,
"7,907",The Whisperer in Darkness,2007, ,105 min,Sci-Fi,5.8,
"7,908",Earthseed,, , ,Sci-Fi, ,
"7,909",Terror at Tate Manor,2002, , ,"Action, Sci-Fi, Thriller",2.0,
"7,910",Somacell,, , ,"Action, Sci-Fi, Thriller", ,
"7,911",LifeRaft,2016, ,81 min,"Horror, Sci-Fi, Thriller",3.9,
"7,912",The Spawning,2017, , ,"Horror, Sci-Fi",7.2,
"7,913",Seven Minutes,, , ,Sci-Fi, ,
"7,914",Xscape,2000, ,135 min,"Drama, Mystery, Sci-Fi",6.2,
"7,915",Eden,II, , ,"Action, Sci-Fi", ,
"7,916",Derelict,II 2019, ,88 min,"Action, Drama, Mystery",4.8,
"7,917",L'uno,2020, ,92 min,"Comedy, Drama, Sci-Fi",5.5,
"7,918",Dream Runner,2020, ,108 min,"Crime, Drama, Sci-Fi",4.1,
"7,919",Crash,I, , ,"Action, Adventure, Sci-Fi", ,
"7,920",The Antman,2002, ,94 min,"Comedy, Horror, Sci-Fi",5.1,
"7,921",Luz,III 2019, ,84 min,Sci-Fi,7.5,
"7,922",Shovel Ready,, , ,Sci-Fi, ,
"7,923",The Invention of Conscience,2021, , ,Sci-Fi, ,
"7,924",Airman,, , ,"Animation, Adventure, Family", ,
"7,925",Bieffekterna,2016, ,93 min,"Action, Drama, Sci-Fi",4.2,
"7,926",She,IV, , ,"Action, Sci-Fi", ,
"7,927",A.Li.Ce,2000, ,85 min,"Animation, Sci-Fi",5.1,
"7,928",The Mirror in My Dorm Room,, , ,Sci-Fi, ,
"7,929",Neon Detroit Knights,2019, ,89 min,Sci-Fi,4.2,
"7,930",Steampunk Samurai Biker Chick,2012, ,75 min,Sci-Fi, ,
"7,931",Solo,I, , ,"Drama, Sci-Fi, Thriller", ,
"7,932",Justice Is Mind,2013,Not Rated,153 min,"Crime, Drama, Mystery",5.9,
"7,933",I Am Awake,2021, , ,"Adventure, Romance, Sci-Fi", ,
"7,934",Caminata espacial,2000, , ,"Horror, Sci-Fi", ,
"7,935",XX Ray III,2019, ,109 min,Sci-Fi,4.4,
"7,936",Electronic Lover,1966, ,79 min,"Sci-Fi, Thriller",3.9,
"7,937",Odd Noggins,2000, ,90 min,"Comedy, Horror, Sci-Fi",4.4,
"7,938",The Illuminati: Out of Chaos Comes Order,, , ,"Sci-Fi, Thriller", ,
"7,939",Bleeding Edge,, , ,"Crime, Sci-Fi, Thriller", ,
"7,940",Mekong 2030,2020, ,93 min,"Drama, Sci-Fi",5.6,
"7,941",2k3,2009, ,84 min,"Drama, Sci-Fi, Thriller",6.2,
"7,942",Forward,2019, ,75 min,Sci-Fi, ,
"7,943",You Are Here,II 2010, ,79 min,"Drama, Fantasy, Sci-Fi",6.0,63
"7,944",Interworld,, , ,"Animation, Fantasy, Sci-Fi", ,
"7,945",Gâruzu in toraburu: Supêsu Sukuwaddo Episôdo Zero,2017, ,55 min,"Action, Comedy, Sci-Fi",7.4,
"7,946",Tasting Love,, ,90 min,"Drama, Romance, Sci-Fi", ,
"7,947",Alraune,1919, ,80 min,"Horror, Sci-Fi",5.4,
"7,948",Surrender in Paradise,1976, ,92 min,"Drama, Sci-Fi, Thriller",7.4,
"7,949",UFO Man,, , ,Sci-Fi, ,
"7,950",Inexorable Spread,2021, , ,"Horror, Sci-Fi, Thriller", ,
"7,951",Between the Moon and Montevideo,2001, ,115 min,"Drama, Sci-Fi",5.3,
"7,952",Jackpot,VII, , ,"Action, Adventure, Sci-Fi", ,
"7,953",Essex Spacebin,2016, ,79 min,"Comedy, Sci-Fi",5.1,
"7,954",Blue Demon y las invasoras,1969, ,87 min,"Fantasy, Sci-Fi, Thriller",5.6,
"7,955",Ontem Havia Coisas Estranhas no Céu,2019, ,109 min,"Drama, Sci-Fi",5.6,
"7,956",Tetsujin 28-gô: Hakuchû no zangetsu,2007, ,95 min,"Animation, Adventure, Sci-Fi",5.9,
"7,957",Invasion,VI, , ,"Horror, Sci-Fi", ,
"7,958",L.I.N.X.,2000, ,90 min,Sci-Fi,5.6,
"7,959",Santo vs. the Killers from Other Worlds,1973, ,85 min,"Action, Adventure, Crime",5.1,
"7,960",Instalado,2017, , ,Sci-Fi,7.4,
"7,961",The Forevers,2020, ,120 min,"Animation, Action, Adventure",6.9,
"7,962",Offworld,II, ,90 min,"Adventure, Sci-Fi", ,
"7,963",Lipton Cockton in the Shadows of Sodoma,1995, ,83 min,"Mystery, Sci-Fi, Thriller",5.7,
"7,964",Rû=garû,2010,TV-14,99 min,"Animation, Mystery, Sci-Fi",5.3,
"7,965",Naked Reality,2016, , ,Sci-Fi, ,
"7,966",The Testing,, , ,"Action, Adventure, Comedy", ,
"7,967",Aparelho Voador a Baixa Altitude,2002, ,80 min,"Thriller, Sci-Fi",6.2,
"7,968",The First,2014, ,90 min,"Sci-Fi, Thriller",4.5,
"7,969",Intruder,I 2018,PG-13, ,"Comedy, Sci-Fi", ,
"7,970",Aftermath,IV, , ,Sci-Fi, ,
"7,971",Slave Girls on the Moon,2014, ,73 min,"Action, Adventure, Sci-Fi",4.5,
"7,972",News Traveler,1998, , ,Sci-Fi,4.5,
"7,973",Atom Nine Adventures,2007, , ,"Action, Adventure, Sci-Fi",6.4,
"7,974",Arte Factum,2017, , ,"Drama, Fantasy, Horror",8.4,
"7,975",Exile,2008, ,82 min,"Action, Romance, Sci-Fi",3.6,
"7,976",Grave Robbers,1966, ,85 min,"Adventure, Horror, Sci-Fi",6.0,
"7,977",Popdown,1969, ,98 min,"Fantasy, Musical, Sci-Fi", ,
"7,978",There,2015, ,103 min,"Drama, Sci-Fi, War",5.1,
"7,979",Space Warriors Baldios,1981, ,99 min,"Animation, Action, Sci-Fi",6.9,
"7,980",Santikhiri Sonata,2019, ,75 min,"Drama, History, Sci-Fi",4.7,
"7,981",The Seeker and the Artist,2022, , ,Sci-Fi, ,
"7,982",Twin Reflex,2014, ,97 min,"Mystery, Sci-Fi, Thriller",7.0,
"7,983",Phase Q,2021, , ,"Drama, Sci-Fi, Thriller", ,
"7,984",Kamen Raidâ Burakku: Onigajima he kyûkô seyo!,1988, , ,"Action, Adventure, Drama",5.3,
"7,985",Genesis,V 2016, ,72 min,"Horror, Sci-Fi",4.4,
"7,986",The E.Y.E.S. of Mars,1993, , ,"Animation, Drama, Sci-Fi",5.8,
"7,987",Otona no omocha: Dacchi waifu repôto,1975, ,72 min,"Drama, Sci-Fi",6.0,
"7,988",Alien Zombie Invasion,2011,Not Rated,84 min,"Comedy, Horror, Sci-Fi",3.9,
"7,989",The Other Side,V, , ,Sci-Fi, ,
"7,990",Homunculus,1916, ,360 min,"Horror, Sci-Fi",6.7,
"7,991",Game for Motel Room,, , ,"Drama, Romance, Sci-Fi", ,
"7,992",Power Rangers 6,, , ,"Action, Adventure, Sci-Fi", ,
"7,993",Empyrean,2016,Not Rated,76 min,"Drama, Sci-Fi",5.8,
"7,994",Spore,II, , ,"Action, Horror, Sci-Fi", ,
"7,995",Con licencia para matar,1969, ,86 min,"Action, Adventure, Sci-Fi",5.8,
"7,996",Malditos sean!,2011, ,120 min,"Fantasy, Horror, Sci-Fi",6.3,
"7,997",Urutoraman Kosumosu: The First Contact,2001, ,90 min,"Adventure, Family, Fantasy",6.3,
"7,998",Tantum,2021, ,82 min,"Drama, Sci-Fi, Thriller", ,
"7,999",Gekijou Kidou Senshi Gundam SEED,, , ,"Animation, Action, Drama", ,
"8,000",Frankenstein's Monster,2014,Not Rated,86 min,"Drama, History, Sci-Fi",3.1,
"8,001",Nibiru,I, , ,Sci-Fi, ,
"8,002",Dark Resonance,2016, ,98 min,"Drama, Sci-Fi, Thriller",4.9,
"8,003",Casimir Effect,2011, ,60 min,Sci-Fi,7.2,
"8,004",The Embryo Who Came in from the Cold,2020, ,90 min,"Animation, Adventure, Comedy",5.0,
"8,005",Alien Theory,2019, ,100 min,"Action, Sci-Fi, Thriller",6.3,
"8,006",Parallel,II 2015, ,91 min,"Drama, Sci-Fi",5.5,
"8,007",A Dark Matter,2013,TV-14,100 min,"Crime, Sci-Fi, Thriller",4.6,
"8,008",Exfil [us],, , ,Sci-Fi, ,
"8,009",Meridiane Story,2021, , ,"Drama, Fantasy, History", ,
"8,010",Chand Par Chadayee,1967, ,150 min,"Adventure, Comedy, Drama",5.3,
"8,011",Smoothie's,, , ,Sci-Fi, ,
"8,012",Planet Gliese,2022, , ,Sci-Fi, ,
"8,013",Archetype,, , ,Sci-Fi, ,
"8,014",Time Burst: the Final Alliance,1989, ,93 min,"Action, Fantasy, Horror",4.0,
"8,015",Khilari,1968, ,138 min,"Action, Sci-Fi",6.8,
"8,016",Untitled Laeta Kalogridis/Patrick Lussier Sci-Fi Project,, , ,Sci-Fi, ,
"8,017",New Prime,2011, ,60 min,"Action, Comedy, Sci-Fi",7.9,
"8,018",Centerfolds from Hell,1992, ,90 min,Sci-Fi, ,
"8,019",Tokyo 1960,1957, , ,"Action, Sci-Fi",7.1,
"8,020",Máquina para ver el alma,, , ,"Comedy, Romance, Sci-Fi", ,
"8,021",Transit,I 2019, ,90 min,"Action, Drama, Sci-Fi", ,
"8,022",The Nephilim,2013, ,100 min,"Action, Fantasy, Horror", ,
"8,023",The Broken Earth,, , ,"Fantasy, Sci-Fi", ,
"8,024",Chaos,I 2002,R, ,Sci-Fi,3.7,
"8,025",Enoshima Prism,2013, ,90 min,"Comedy, Sci-Fi",6.1,
"8,026",Bad Games,, ,105 min,"Action, Comedy, Crime", ,
"8,027",Truffe,2008, ,75 min,"Comedy, Drama, Sci-Fi",5.9,
"8,028",Skynet,, , ,"Action, Sci-Fi", ,
"8,029",Los visitados,2020, , ,"Horror, Mystery, Sci-Fi", ,
"8,030",Seres: Genesis,2010, ,110 min,"Action, Adventure, Sci-Fi",3.8,
"8,031",Split,I 2004,Not Rated,700 min,"Action, Crime, Sci-Fi",5.1,
"8,032",Salvation,2007, ,86 min,"Action, Horror, Sci-Fi",2.8,
"8,033",Go to Hell!!,1997, ,73 min,"Animation, Comedy, History",6.6,
"8,034",Gekijôban Kamen Raidâ Kabuto: God Speed Love,2006, ,66 min,"Action, Adventure, Drama",6.5,
"8,035",E.D.F.,, , ,"Action, Sci-Fi", ,
"8,036",Osiris,2014, , ,"Adventure, Sci-Fi", ,
"8,037",The Coming,2009, ,100 min,Sci-Fi,5.7,
"8,038",Transplant of a Brain,1970, ,85 min,"Sci-Fi, Thriller",5.1,
"8,039",Towa no Quon 2: Konton no Ranbu,2011, ,48 min,"Animation, Action, Fantasy",6.6,
"8,040",Fluffy Marky: Vol 2,2017, , ,"Drama, Family, Sci-Fi", ,
"8,041",Tamarrud,2016, ,75 min,"Sci-Fi, Thriller",8.2,
"8,042",Cherry 2000,, , ,"Action, Adventure, Comedy", ,
"8,043",Fatal Future,2018,Not Rated,93 min,"Adventure, Comedy, Sci-Fi",5.4,
"8,044",Alien Zombie Cell,, , ,"Action, Horror, Sci-Fi", ,
"8,045",Stealth Hunters,1991, , ,"Horror, Sci-Fi",3.3,
"8,046",Los pajarracos,2006,R,91 min,"Adventure, Comedy, Fantasy",4.8,
"8,047",Attack of the Clones Special Edition: Fan Film,2018, ,137 min,Sci-Fi,3.8,
"8,048",Invasion,II, , ,"Sci-Fi, Thriller", ,
"8,049",The Zone: Living Dead,2022, , ,Sci-Fi, ,
"8,050",S.I.N. Theory,2012,Not Rated,70 min,"Drama, Sci-Fi",6.0,
"8,051",Purgatopia,2020, ,81 min,Sci-Fi, ,
"8,052",Project Pangea: Dinosaurs Unleashed!,, , ,Sci-Fi, ,
"8,053",Priest : The Whip and the Rise of the Evil,2022, ,145 min,"Action, Adventure, Horror", ,
"8,054",Quase Memória,2016, ,94 min,"Adventure, Drama, Sci-Fi",7.2,
"8,055",There Are No Goodbyes,2013,Not Rated,94 min,"Drama, Romance, Sci-Fi",6.7,
"8,056",Star Wars: A Galaxy in Darkness,2009, ,46 min,"Animation, Adventure, Drama",5.0,
"8,057",São Ateu,2020, , ,"Comedy, Fantasy, Sci-Fi", ,
"8,058",Youthquake,, , ,"Action, Adventure, Fantasy", ,
"8,059",Flying Guy,2019, , ,"Action, Adventure, Drama",5.2,
"8,060",Golem,II, , ,"Sci-Fi, Thriller", ,
"8,061",Chi wo sû uchû,2001, ,85 min,"Comedy, Horror, Sci-Fi",5.8,
"8,062",Coo: Tooi Umi Kara Kita Coo,1993, , ,"Animation, Action, Family",6.9,
"8,063",Fool Japan: The ABCs of Tetsudon,2014, ,95 min,"Action, Comedy, Sci-Fi",6.5,
"8,064",Macross FB 7: Ore no Uta o Kike!,2012, ,90 min,"Animation, Action, Music",5.3,
"8,065",The Other Place,I 2020, , ,Sci-Fi, ,
"8,066",Uchû senkan Yamato 2199,2012, ,50 min,"Animation, Action, Adventure",7.0,
"8,067",Roche Limit,, , ,"Drama, Mystery, Sci-Fi", ,
"8,068",Super Mix,2019, ,127 min,"Action, Adventure, Drama",4.8,
"8,069",Erastes sti mihani tou hronou,1990, ,85 min,"Romance, Sci-Fi, Thriller",6.0,
"8,070",Homestead,III, , ,"Drama, Sci-Fi, Thriller", ,
"8,071",Star Wars: The World Invasion,2019, ,80 min,Sci-Fi, ,
"8,072",Warum die UFOs unseren Salat klauen,1980, ,91 min,"Comedy, Romance, Sci-Fi",4.9,
"8,073",Reversible reality,2021, , ,"Sci-Fi, Thriller", ,
"8,074",Wunderkinder,, ,120 min,"Drama, Sci-Fi, Thriller", ,
"8,075",Silent Hope,, , ,"Drama, Sci-Fi", ,
"8,076",The Creators,, , ,"Fantasy, Sci-Fi", ,
"8,077",Nervo Craniano Zero,2012, ,88 min,"Comedy, Horror, Sci-Fi",6.3,
"8,078",Cyberon,2000, , ,"Action, Drama, Sci-Fi",6.3,
"8,079",Crook,2020, , ,"Fantasy, Sci-Fi", ,
"8,080",Zui hou yi zhan,1987, ,89 min,"Action, Sci-Fi",5.9,
"8,081",Dvojrole,1999, ,110 min,"Drama, Sci-Fi",6.1,
"8,082",Project Genesis: Crossclub 2,2011, ,70 min,"Comedy, Horror, Sci-Fi",2.9,
"8,083",Deadfall: Ground Zero,2018, , ,"Action, Horror, Sci-Fi",4.7,
"8,084",Project Skyquake,2022, , ,"Drama, Horror, Sci-Fi", ,
"8,085",The Monster of Phantom Lake,2006,Not Rated,97 min,"Comedy, Horror, Sci-Fi",5.2,
"8,086",Johnny Games,, , ,"Action, Crime, Drama", ,
"8,087",Ori okeanis saidumloeba,1957, ,145 min,"Adventure, Crime, Fantasy",6.2,
"8,088",Yi a suo mi ma,2018, ,88 min,"Action, Horror, Sci-Fi",5.3,
"8,089",Santo in the Border of Terror,1969, ,85 min,"Action, Adventure, Crime",4.9,
"8,090",Trishanku,, , ,Sci-Fi, ,
"8,091",Manimal,I, , ,"Animation, Action, Sci-Fi", ,
"8,092",L'extraterrestre,2000, ,93 min,"Comedy, Romance, Sci-Fi",3.4,
"8,093",Earp: Saints for Sinners,, , ,"Action, Sci-Fi, Western", ,
"8,094",Bestseller,2021, ,77 min,"Drama, Mystery, Sci-Fi", ,
"8,095",Los invisibles,1963, , ,"Comedy, Sci-Fi",5.9,
"8,096",Bird's Eye View - An ET's Solution for Humanity,2020, ,101 min,"Adventure, Comedy, Sci-Fi", ,
"8,097",Biouhka Bezsens,2013, ,125 min,"Sci-Fi, Thriller", ,
"8,098",Lies Inc.,2004, ,67 min,Sci-Fi,5.1,
"8,099",Relay,, , ,Sci-Fi, ,
"8,100",Avenge Me,2018, , ,"Action, Sci-Fi, Thriller", ,
"8,101",Killerbowl,, ,113 min,"Animation, Action, Comedy", ,
"8,102",Crossing the Rubicon,2002, ,115 min,"Romance, Sci-Fi", ,
"8,103",The Last Resort,III, , ,"Fantasy, Sci-Fi", ,
"8,104",Romeo and Juliet: The War,, , ,"Action, Drama, Sci-Fi", ,
"8,105",Spectres of the Spectrum,1999,Not Rated,94 min,"Drama, Sci-Fi",6.6,
"8,106",The Harvest,V, , ,Sci-Fi, ,
"8,107",El Xendra,2012,TV-14,112 min,Sci-Fi,5.4,
"8,108",Stormy Tempest: Fight for the Future,2013, ,85 min,Sci-Fi, ,
"8,109",Talíre nad Velkým Malíkovem,1977, ,89 min,"Sci-Fi, Comedy",2.6,
"8,110",All people disappeared forever,2019, ,61 min,"Sci-Fi, Thriller",8.7,
"8,111",Neon Tank,2021, , ,"Drama, Sci-Fi", ,
"8,112",Ghostware,, ,110 min,"Action, Adventure, Fantasy", ,
"8,113",Remnant,II 2014, , ,"Drama, Sci-Fi, War",6.5,
"8,114",Unearthed,2004,Not Rated,126 min,"Horror, Sci-Fi",2.4,
"8,115",Der Herr vom andern Stern,1948, ,93 min,Sci-Fi,6.3,
"8,116",Slices,2008,Not Rated,108 min,"Horror, Sci-Fi",2.7,
"8,117",Macross Frontier: The Wings of Goodbye,2011, ,114 min,"Animation, Action, Sci-Fi",7.2,
"8,118",Nicotine Stains,2013,Not Rated,75 min,"Horror, Sci-Fi, Thriller",5.7,
"8,119",The Closed Door,2021, ,50 min,"Mystery, Sci-Fi", ,
"8,120",Thunder Waves and Rockets,2021, ,93 min,"Drama, Sci-Fi, Thriller", ,
"8,121",As She Climbed Across the Table,, , ,"Drama, Romance, Sci-Fi", ,
"8,122",Deus Ex: Human Revolution,, , ,Sci-Fi, ,
"8,123",People From Another Planet,2018, , ,"Adventure, Mystery, Sci-Fi", ,
"8,124",Deal of the Dead,2022, ,91 min,"Horror, Sci-Fi", ,
"8,125",Naked Is the Best Disguise,, , ,"Sci-Fi, Thriller", ,
"8,126",Crawdaddy,, , ,Sci-Fi, ,
"8,127",Eve,I, , ,"Family, Sci-Fi", ,
"8,128",Amaranth,II, , ,"Adventure, Drama, Sci-Fi", ,
"8,129",Maxim Xul,1991, ,90 min,"Horror, Sci-Fi",3.8,
"8,130",Midnight Run,, , ,Sci-Fi, ,
"8,131",Rogue Agent,2022, , ,"Action, Mystery, Sci-Fi", ,
"8,132",Cheonsamong,2001, ,84 min,"Action, Fantasy, Romance",3.7,
"8,133",Patient Zero,, , ,Sci-Fi, ,
"8,134",Balawis,1996, , ,"Action, Sci-Fi, Thriller",4.9,
"8,135",AniMen: Triton Force,2010, ,90 min,"Animation, Adventure, Sci-Fi",4.3,
"8,136",Blue Demon destructor de espias,1968,TV-PG,85 min,"Action, Sci-Fi, Thriller",4.9,
"8,137",Potpourri,I 2011,Not Rated,90 min,"Comedy, Fantasy, Horror",4.8,
"8,138",Ji yin jue ding wo ai ni,2007, ,95 min,"Comedy, Romance, Sci-Fi",4.8,
"8,139",Ben David: Broken Sky,2007,Not Rated,90 min,"Action, Sci-Fi",4.5,
"8,140",Speedwagon,2015, ,92 min,"Comedy, Drama, Sci-Fi",8.0,
"8,141",Chaos,III, , ,Sci-Fi, ,
"8,142",The Sphere of the Lycanthrope,2009, ,112 min,"Action, Comedy, Horror",6.5,
"8,143",Deep Rescue,2005, , ,"Drama, Sci-Fi, Thriller",3.4,
"8,144",Freeze,, ,60 min,Sci-Fi, ,
"8,145",The Lost Locket,2022, , ,"Drama, Romance, Sci-Fi", ,
"8,146",Untitled Project 444 Sequel,2022, , ,Sci-Fi, ,
"8,147",Haven,I 2020, , ,Sci-Fi, ,
"8,148",New People 1.0,2021, , ,Sci-Fi, ,
"8,149",Pink Zone,2014,Not Rated,90 min,"Drama, Romance, Sci-Fi",2.9,
"8,150",Paracide,2020, ,124 min,"Comedy, Sci-Fi, Thriller", ,
"8,151",friEnD ADd 6,2018, ,67 min,"Comedy, Fantasy, Horror",3.8,
"8,152",The Last Girl in the World,, , ,Sci-Fi, ,
"8,153",Shans,1984, ,85 min,"Adventure, Sci-Fi, Comedy",6.4,
"8,154",Forevers 2: Age of Teeth,2021, ,179 min,"Animation, Adventure, Sci-Fi", ,
"8,155",Dark Alien Visions,2022, , ,Sci-Fi, ,
"8,156",EGG.,2005, ,73 min,"Horror, Mystery, Sci-Fi",5.9,
"8,157",Monster Mayhem,I 2017, ,83 min,"Sci-Fi, Thriller", ,
"8,158",John Neptune and the Sky Palace King,2021, ,115 min,Sci-Fi, ,
"8,159",Zone Drifter,2021, ,93 min,Sci-Fi, ,
"8,160",Aladdin 3477- I: The Jinn of Wisdom,, , ,"Action, Adventure, Fantasy", ,
"8,161",Haywire,, , ,"Sci-Fi, Thriller", ,
"8,162",Candy Von Dewd and the Girls from Latexploitia,2002,Not Rated,55 min,"Fantasy, Sci-Fi",3.6,
"8,163",51: After the Raid,2020, , ,"Comedy, Sci-Fi", ,
"8,164",The Poor Hoodman 2: The Robot's Origin,2021, ,80 min,"Animation, Action, Sci-Fi", ,
"8,165",Junior Crew,, , ,Sci-Fi, ,
